16,2,14
14,13,16
25,23,17
24,13,13
25,19,14
20,10,6
7,1,2
14,18,25
0,6,4
12,8,19
8,0,16
17,9,23
25,14,23
14,17,1
13,21,6
18,21,24
4,25,19
19,4,0
20,4,9
22,2,15
0,25,9
16,22,14
17,18,24
6,7,0
19,6,22
5,10,2
2,0,9
12,2,9
14,24,0
18,3,13
22,20,2
6,7,2
24,18,6
20,12,4
1,25,5
5,11,15
25,0,18
18,19,9
10,15,4
18,9,10
6,21,2
10,23,14
1,9,3
14,7,5
20,18,8
9,17,18
8,15,24
17,23,11
25,7,20
14,3,9
3,20,5
15,2,19
14,14,22
3,22,4
7,20,19
6,16,6
21,16,21
1,5,8
20,1,6
20,16,16
2,0,0
12,1,16
11,21,8
1,4,5
17,22,0
9,1,3
16,24,17
0,16,13
10,8,21
0,19,12
11,6,20
24,5,19
21,3,11
18,6,15
6,24,17
20,25,1
8,21,1
8,9,15
12,14,13
9,1,18
19,4,22
2,1,12
25,4,18
19,20,24
9,17,9
8,5,24
10,13,20
14,16,13
12,0,6
23,8,24
1,10,1
17,6,4
2,16,24
25,14,1
19,6,25
23,2,24
0,10,23
8,0,7
11,19,14
20,0,3
14,1,8
3,17,4
6,12,0
16,2,25
1,3,7
9,18,18
8,22,22
21,17,15
17,0,6
6,22,4
17,11,22
1,1,3
14,3,11
4,21,7
14,12,10
7,22,9
3,11,20
19,12,4
9,20,14
15,1,6
13,1,10
11,14,21
5,13,15
21,9,20
21,23,14
23,0,22
1,3,23
20,20,23
13,23,2
5,7,8
7,21,19
20,14,25
1,16,9
13,14,8
25,20,15
5,7,0
13,1,25
23,7,16
22,2,24
10,5,10
3,17,20
10,19,14
21,15,8
8,20,2
11,21,21
8,0,14
15,22,19
3,21,4
16,1,12
0,8,23
14,7,24
15,13,12
11,20,23
17,6,11
6,3,14
23,8,2
13,13,20
3,8,23
22,16,12
14,19,24
9,6,10
22,24,14
20,1,14
24,13,25
7,19,2
2,4,0
12,13,1
23,3,1
18,20,23
24,12,6
21,5,2
7,0,10
1,19,18
13,9,2
21,19,9
1,10,4
12,7,12
19,5,0
19,20,10
14,17,7
4,17,20
9,21,6
2,6,23
24,6,16
10,12,8
22,5,25
16,4,23
0,0,1
24,14,17
23,17,25
13,23,7
19,5,25
15,18,7
0,3,25
13,1,9
4,16,14
6,9,11
8,11,20
15,10,21
24,4,17
12,11,13
25,8,12
7,24,8
24,13,22
4,20,7
7,13,0
8,17,9
9,23,6
16,24,20
11,20,6
15,12,6
9,7,24
4,18,22
20,17,11
7,15,16
14,24,19
11,20,4
5,25,21
9,21,1
5,12,4
21,20,21
20,18,4
2,15,4
22,7,21
0,5,16
8,15,8
15,4,20
24,15,6
17,14,11
3,1,14
4,24,23
11,9,15
2,9,11
16,10,25
21,9,8
2,5,13
12,13,7
0,6,2
14,16,6
20,22,9
21,21,4
15,1,16
11,8,0
9,25,19
0,12,21
3,18,13
11,13,0
3,14,23
20,16,18
1,6,21
8,11,18
15,23,3
23,13,14
8,4,10
10,14,5
13,15,12
22,15,16
20,6,5
14,15,7
14,0,8
21,12,7
18,8,4
2,18,7
14,4,24
22,21,3
14,0,0
17,1,12
17,6,25
16,24,1
9,0,9
16,6,5
23,22,18
24,21,23
2,22,7
15,21,15
18,9,16
11,6,1
20,18,24
17,17,18
13,5,14
5,23,16
8,11,20
23,1,17
5,9,12
0,21,11
23,15,0
24,0,16
7,1,21
15,8,15
19,10,7
6,2,22
25,1,23
8,0,7
2,9,10
19,15,3
3,5,11
25,1,12
6,10,25
20,19,23
17,10,7
